Pool Name,Pool Address,Backer Address,USDC Amount,Capped Airdrop GFI,Uncapped Airdrop GFI,Risk Bonus GFI,Modeled Liq. Mining GFI,TOTAL GFI DISTRIBUTION,Immeditely available,Unlocks over 12 months,Return at price
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x07f82CEa5770723207f8544a00023DEb8968755E,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x08e89248C86FbfdDC30ab8130E136D2D66600A12,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x7C712eD41cf47f9bbC9f6e8D2E59ae8C9D3ece11,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x6b970Cd93b6139Ac830D966E2fe94CF81653479e,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x9125147895D5cCA9b75dB073FE9EDAacff5b2b23,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xF846638AaB987d031c79bf12703500d8bD5963A4,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xf3aFc2383a0B45ae73D77B49dF7F2184B1Ad4B90,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x3939d22aF089BdfbB96322744234F69dB1aB52F8,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x1c2CdDC58EAE7A9d6CFd2aA7b8ed7dDaD9900179,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x92b52e6441A9e2E03d080E951249d93dF222f855,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xBc79501610c5ba40959D5fCB9aAdf743C86ba7D9,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
